DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.061678234487771988" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.032233506441116333" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.030768521130084991" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.029403112828731537" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.029279418289661407" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.030047547072172165" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.034353077411651611" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.068900331854820251" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.14984135329723358" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.024671293795108795" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012893402948975563" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012307408265769482" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.01176124531775713" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.011711766943335533" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.012019018642604351" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.013741230592131615" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.02756013348698616" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.059936542063951492" 
0, comb, down_fsr, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.0030274679884314537" 
0, comb, down_fsr, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.0037170061841607094" 
0, comb, down_fsr, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.0045171198435127735" 
0, comb, down_fsr, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))-0.0035511739552021027" 
