DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.043549790978431702" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.020223654806613922" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.023361712694168091" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.024624831974506378" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.02425885945558548" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.024677451699972153" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.071031235158443451" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.14036135375499725" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.16106221079826355" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.017419915646314621" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0080894622951745987" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0093446848914027214" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0098499329760670662" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.0097035439684987068" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.009870980866253376" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.02841249480843544" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.056144542992115021" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)-0.064424887299537659" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.043549790978431702" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.020223654806613922" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.023361712694168091" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.024624831974506378" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.02425885945558548" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.024677451699972153" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.071031235158443451" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.14036135375499725" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.16106221079826355" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.017419915646314621" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.0080894622951745987" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.0093446848914027214" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.0098499329760670662" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.996232*(1.+-0.000388714*x)/(1.+-0.000371901*x)+0.0097035439684987068" 
