DeepFlavour;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.07052350044
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.18090191331
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.986673734053
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.10008654544
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.05312478542
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.07279217243
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.06803047657
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.08305668831
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.05204534531
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.07051813602
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.08814489841
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.07051813602
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.07292914391
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.07032251358
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.07051813602
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.07076051616
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.07028648473
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.15897167877
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.982075322111
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.08200688531
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.05904011557
0,lt,central,0,0,2.4,30.0,50.0,0,1,1.02567720413
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.07389383044
0,lt,down,0,0,2.4,30.0,50.0,0,1,1.00618003382
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.02990984917
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.01538374192
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.03028905392
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.02091252804
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.03383278847
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.02002477646
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.02567672729
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.03028094769
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,1.02567672729
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,1.02547025681
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,1.02564299107
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,1.02567672729
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.02581559472
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,1.02553881355
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.03300037974
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,1.01835402852
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.03040041252
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,1.02095399575
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.996038794518
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.04459270199
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.957893677509
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.0037018528
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.985352257539
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.00402081013
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.987510919571
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00595915318
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.987486481667
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.996040642262
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.00147819519
