DeepCSVC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22097637113"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.16822692097"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.27372582129"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21711472125"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.224838021"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21753136221"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22442138005"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22069355793"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22125918433"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21672274217"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22523000008"
0,TnP,down_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.16822692097"
0,TnP,up_ALL,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.27372582129"
0,TnP,down_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21830294112"
0,TnP,up_mescales,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22364980113"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21944635877"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22250638348"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.16884480683"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.27310793542"
0,TnP,down_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21731358473"
0,TnP,up_psscale,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22463915752"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21677783441"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22517490784"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21961209814"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22234064412"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.21810465932"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.22384808294"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19326583436"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.13626046178"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.25027120694"
0,TnP,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18902537392"
0,TnP,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1975062948"
0,TnP,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18938350304"
0,TnP,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19714816568"
0,TnP,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19319158862"
0,TnP,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1933400801"
0,TnP,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18661493743"
0,TnP,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19991673129"
0,TnP,down_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.13626046178"
0,TnP,up_ALL,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.25027120694"
0,TnP,down_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19139955469"
0,TnP,up_mescales,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19513211403"
0,TnP,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18364951157"
0,TnP,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.20288215715"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1375798829"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.24895178582"
0,TnP,down_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19184723657"
0,TnP,up_psscale,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19468443215"
0,TnP,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19224123773"
0,TnP,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19429043099"
0,TnP,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.18827806355"
0,TnP,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19825360517"
0,TnP,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19066625304"
0,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.19586541568"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.12223011821"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07347705734"
